[2015-03-03 14:15:12] request.ERROR: Uncaught PHP Exception Symfony\Component\HttpKernel\Exception\NotFoundHttpException: "No route found for "GET /"" at C:\wamp\www\honeypot\vendor\symfony\symfony\src\Symfony\Component\HttpKernel\EventListener\RouterListener.php line 145 {"exception":"[object] (Symfony\\Component\\HttpKernel\\Exception\\NotFoundHttpException(code: 0): No route found for \"GET /\" at C:\\wamp\\www\\honeypot\\vendor\\symfony\\symfony\\src\\Symfony\\Component\\HttpKernel\\EventListener\\RouterListener.php:145, Symfony\\Component\\Routing\\Exception\\ResourceNotFoundException(code: 0):  at C:\\wamp\\www\\honeypot\\app\\cache\\prod\\appProdUrlMatcher.php:40)"} []
[2015-03-05 18:18:18] request.INFO: Matched route "ggg_notices_homepage" (parameters: "_controller": "GGG\Bundle\NoticesBundle\Controller\DefaultController::indexAction", "_route": "ggg_notices_homepage") [] []
[2015-03-05 18:18:20] request.CRITICAL: Uncaught PHP Exception Twig_Error_Runtime: "An exception has been thrown during the rendering of a template ("Unable to generate a URL for the named route "ggg_notice_marques" as such route does not exist.") in "GGGNoticesBundle:Default:layout.html.twig" at line 28." at C:\wamp\www\honeypot\vendor\twig\twig\lib\Twig\Template.php line 158 {"exception":"[object] (Twig_Error_Runtime(code: 0): An exception has been thrown during the rendering of a template (\"Unable to generate a URL for the named route \"ggg_notice_marques\" as such route does not exist.\") in \"GGGNoticesBundle:Default:layout.html.twig\" at line 28. at C:\\wamp\\www\\honeypot\\vendor\\twig\\twig\\lib\\Twig\\Template.php:158, Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"ggg_notice_marques\" as such route does not exist. at C:\\wamp\\www\\honeypot\\app\\cache\\prod\\appProdUrlGenerator.php:32)"} []
[2015-03-05 18:19:51] request.INFO: Matched route "ggg_notices_homepage" (parameters: "_controller": "GGG\Bundle\NoticesBundle\Controller\DefaultController::indexAction", "_route": "ggg_notices_homepage") [] []
[2015-03-05 18:19:51] request.CRITICAL: Uncaught PHP Exception Twig_Error_Runtime: "An exception has been thrown during the rendering of a template ("Unable to generate a URL for the named route "ggg_notice_marques" as such route does not exist.") in "GGGNoticesBundle:Default:layout.html.twig" at line 28." at C:\wamp\www\honeypot\app\cache\prod\classes.php line 4537 {"exception":"[object] (Twig_Error_Runtime(code: 0): An exception has been thrown during the rendering of a template (\"Unable to generate a URL for the named route \"ggg_notice_marques\" as such route does not exist.\") in \"GGGNoticesBundle:Default:layout.html.twig\" at line 28. at C:\\wamp\\www\\honeypot\\app\\cache\\prod\\classes.php:4537, Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"ggg_notice_marques\" as such route does not exist. at C:\\wamp\\www\\honeypot\\app\\cache\\prod\\appProdUrlGenerator.php:32)"} []
[2015-03-05 18:19:53] request.INFO: Matched route "ggg_notices_homepage" (parameters: "_controller": "GGG\Bundle\NoticesBundle\Controller\DefaultController::indexAction", "_route": "ggg_notices_homepage") [] []
[2015-03-05 18:19:53] request.CRITICAL: Uncaught PHP Exception Twig_Error_Runtime: "An exception has been thrown during the rendering of a template ("Unable to generate a URL for the named route "ggg_notice_marques" as such route does not exist.") in "GGGNoticesBundle:Default:layout.html.twig" at line 28." at C:\wamp\www\honeypot\app\cache\prod\classes.php line 4537 {"exception":"[object] (Twig_Error_Runtime(code: 0): An exception has been thrown during the rendering of a template (\"Unable to generate a URL for the named route \"ggg_notice_marques\" as such route does not exist.\") in \"GGGNoticesBundle:Default:layout.html.twig\" at line 28. at C:\\wamp\\www\\honeypot\\app\\cache\\prod\\classes.php:4537, Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"ggg_notice_marques\" as such route does not exist. at C:\\wamp\\www\\honeypot\\app\\cache\\prod\\appProdUrlGenerator.php:32)"} []
[2015-03-05 18:20:55] request.INFO: Matched route "ggg_notices_homepage" (parameters: "_controller": "GGG\Bundle\NoticesBundle\Controller\DefaultController::indexAction", "_route": "ggg_notices_homepage") [] []
[2015-03-05 18:20:55] request.CRITICAL: Uncaught PHP Exception Twig_Error_Runtime: "An exception has been thrown during the rendering of a template ("Unable to generate a URL for the named route "ggg_notice_marques" as such route does not exist.") in "GGGNoticesBundle:Default:layout.html.twig" at line 28." at C:\wamp\www\honeypot\app\cache\prod\classes.php line 4537 {"exception":"[object] (Twig_Error_Runtime(code: 0): An exception has been thrown during the rendering of a template (\"Unable to generate a URL for the named route \"ggg_notice_marques\" as such route does not exist.\") in \"GGGNoticesBundle:Default:layout.html.twig\" at line 28. at C:\\wamp\\www\\honeypot\\app\\cache\\prod\\classes.php:4537, Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"ggg_notice_marques\" as such route does not exist. at C:\\wamp\\www\\honeypot\\app\\cache\\prod\\appProdUrlGenerator.php:32)"} []
[2015-03-05 18:22:17] request.INFO: Matched route "ggg_notices_homepage" (parameters: "_controller": "GGG\Bundle\NoticesBundle\Controller\DefaultController::indexAction", "_route": "ggg_notices_homepage") [] []
[2015-03-05 18:22:17] request.CRITICAL: Uncaught PHP Exception Twig_Error_Runtime: "An exception has been thrown during the rendering of a template ("Unable to generate a URL for the named route "ggg_notice_marques" as such route does not exist.") in "GGGNoticesBundle:Default:layout.html.twig" at line 28." at C:\wamp\www\honeypot\app\cache\prod\classes.php line 4537 {"exception":"[object] (Twig_Error_Runtime(code: 0): An exception has been thrown during the rendering of a template (\"Unable to generate a URL for the named route \"ggg_notice_marques\" as such route does not exist.\") in \"GGGNoticesBundle:Default:layout.html.twig\" at line 28. at C:\\wamp\\www\\honeypot\\app\\cache\\prod\\classes.php:4537, Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"ggg_notice_marques\" as such route does not exist. at C:\\wamp\\www\\honeypot\\app\\cache\\prod\\appProdUrlGenerator.php:32)"} []
